region_name,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Least developed countries,Lower,"506,276","495,014","485,197","476,225","467,709","457,100","447,947","438,852","428,863","418,188","407,431","395,874","384,549","374,036","363,833","353,797","344,518","335,507","326,621","318,146","310,240","302,291","294,651","286,688","279,739","272,964","265,955","258,961","252,200","245,639","239,296","233,208","226,842"
Least developed countries,Median,"525,289","513,492","502,994","493,876","485,126","474,226","464,593","454,968","444,468","433,304","421,847","409,767","398,089","387,337","376,699","366,384","357,026","348,014","339,009","330,642","322,835","315,315","308,429","301,535","295,137","288,989","282,783","276,752","270,803","264,985","259,465","254,039","248,625"
Least developed countries,Upper,"579,477","566,654","555,697","545,603","536,063","523,557","512,899","502,360","490,388","477,630","464,716","451,159","437,934","425,651","412,510","399,464","387,437","376,344","365,155","354,829","346,186","338,318","331,771","325,602","320,601","316,145","311,922","308,306","304,500","301,709","299,286","296,839","295,596"
Landlocked developing countries,Lower,"455,336","449,274","444,727","442,474","439,621","432,753","427,618","421,959","414,853","406,734","397,602","387,523","377,795","368,997","359,720","350,750","342,184","333,477","323,309","314,347","305,556","296,876","288,654","280,247","272,503","265,724","259,245","252,800","245,520","239,093","231,900","225,836","219,673"
Landlocked developing countries,Median,"476,386","469,603","464,667","462,341","459,353","452,678","447,153","440,836","433,258","424,718","415,327","404,646","394,200","384,843","375,068","365,327","356,416","347,192","336,890","327,913","319,193","310,558","302,622","294,732","287,525","281,203","275,254","269,829","263,501","257,883","252,314","247,885","242,953"
Landlocked developing countries,Upper,"524,783","517,645","512,548","510,468","507,525","500,120","493,802","486,847","477,890","468,074","457,198","444,613","432,214","421,505","410,147","399,203","388,626","378,011","365,819","354,443","344,094","334,506","325,198","316,481","309,334","303,548","298,559","294,529","290,413","287,873","286,191","285,716","285,269"
Small island developing States,Lower,"249,693","247,435","244,562","241,795","239,182","235,184","234,594","229,517","227,978","224,901","221,022","220,468","217,050","216,499","216,406","216,388","215,980","213,910","210,108","206,694","206,661","200,473","197,422","194,447","190,528","186,345","184,111","179,875","175,338","171,122","166,320","161,552","156,125"
Small island developing States,Median,"263,701","260,840","257,488","254,425","251,927","247,815","247,016","241,449","239,952","236,878","233,189","232,852","229,410","228,885","229,123","229,124","229,104","227,180","223,354","220,270","220,654","215,202","212,880","210,852","208,112","205,375","205,260","203,021","199,726","197,322","194,440","191,123","187,207"
Small island developing States,Upper,"285,222","281,615","277,801","274,667","271,674","267,311","266,321","260,130","258,416","254,820","250,940","250,546","246,401","246,036","246,443","246,771","247,074","245,388","241,411","238,301","239,502","234,691","233,414","233,023","231,926","230,866","234,090","235,354","235,634","237,415","238,388","238,608","238,468"
Europe and Northern America,Lower,"67,410","65,257","63,248","61,447","59,918","57,760","55,609","53,456","51,182","48,701","46,983","45,890","44,850","43,380","41,738","40,274","38,862","37,393","35,928","34,776","34,017","33,752","33,605","33,120","32,250","31,155","30,044","29,212","28,608","27,968","26,990","25,790","24,627"
Europe and Northern America,Median,"73,204","70,816","68,533","66,568","64,790","62,506","60,236","57,999","55,657","53,077","51,286","50,119","48,943","47,348","45,614","43,991","42,452","40,870","39,274","38,012","37,139","36,801","36,582","36,067","35,117","33,927","32,716","31,787","31,108","30,385","29,331","28,067","26,818"
Europe and Northern America,Upper,"78,092","75,250","72,405","70,130","68,116","65,452","62,831","60,256","57,700","54,948","53,097","51,900","50,689","49,019","47,227","45,508","43,918","42,301","40,663","39,375","38,471","38,139","37,914","37,348","36,356","35,110","33,845","32,815","32,097","31,321","30,262","29,070","28,061"
Northern America,Lower,"50,945","49,407","48,070","46,761","45,538","44,636","44,096","43,565","42,738","41,873","41,560","41,912","42,220","41,951","41,224","40,520","39,971","39,409","38,603","37,758","37,258","37,211","37,196","36,881","36,247","35,542","34,930","34,548","34,422","34,153","33,088","31,133","28,995"
Northern America,Median,"56,152","54,482","52,977","51,472","50,054","48,999","48,320","47,678","46,751","45,816","45,452","45,708","46,000","45,710","44,961","44,185","43,619","42,994","42,130","41,227","40,654","40,499","40,411","40,027","39,377","38,647","37,998","37,552","37,386","37,094","36,017","34,012","31,829"
Northern America,Upper,"57,775","56,015","54,470","52,891","51,436","50,364","49,639","48,970","48,004","47,066","46,698","46,920","47,197","46,892","46,118","45,352","44,769","44,140","43,235","42,291","41,704","41,523","41,435","41,038","40,364","39,630","38,944","38,492","38,346","38,075","37,072","35,227","33,478"
Europe,Lower,"74,472","72,569","70,486","68,918","67,305","64,759","61,846","58,949","56,060","52,728","50,213","48,269","46,378","44,149","42,028","40,092","38,159","36,187","34,365","33,028","32,156","31,823","31,591","31,025","29,998","28,711","27,377","26,244","25,321","24,349","23,404","22,594","21,887"
Europe,Median,"81,639","79,089","76,659","74,696","72,859","70,043","66,932","63,851","60,841","57,394","54,791","52,772","50,698","48,324","45,999","43,876","41,751","39,607","37,652","36,237","35,253","34,818","34,540","33,927","32,802","31,351","29,841","28,574","27,556","26,494","25,435","24,525","23,798"
Europe,Upper,"88,790","85,478","82,281","79,937","77,708","74,363","70,694","67,050","63,680","60,019","57,356","55,296","53,168","50,657","48,229","45,936","43,752","41,559","39,536","38,079","37,043","36,635","36,342","35,679","34,476","32,952","31,352","29,919","28,801","27,658","26,571","25,738","25,265"
Latin America and the Caribbean,Lower,"219,696","213,806","207,906","201,783","195,221","188,100","180,374","172,570","165,540","158,669","151,738","144,784","137,854","131,749","126,133","121,103","117,045","113,409","110,142","107,275","105,007","102,393","100,094","97,602","95,328","95,310","96,312","93,321","92,009","90,152","87,640","85,044","82,055"
Latin America and the Caribbean,Median,"231,448","224,955","218,788","212,438","205,721","198,310","190,733","183,158","176,382","169,701","162,419","154,822","147,427","140,690","134,752","129,366","124,781","120,794","117,284","114,151","111,565","108,679","106,179","103,607","101,233","101,186","102,074","99,081","97,925","96,443","94,612","92,607","90,369"
Latin America and the Caribbean,Upper,"245,113","237,440","230,139","223,146","215,788","208,217","200,298","192,544","185,567","178,377","170,720","162,619","154,416","147,222","140,882","135,099","130,042","125,702","121,846","118,445","115,704","112,784","110,319","107,839","105,673","105,985","107,419","104,977","104,637","104,347","103,745","103,089","102,261"
Central and Southern Asia,Lower,"538,005","526,630","516,457","506,652","498,156","488,662","478,088","467,254","455,715","443,901","431,344","418,357","405,920","393,617","381,109","369,464","358,694","348,423","337,931","327,985","318,192","307,830","297,794","287,397","276,897","266,418","256,248","246,678","236,542","225,324","213,931","203,005","192,993"
Central and Southern Asia,Median,"562,523","550,738","540,230","530,354","521,386","511,211","500,898","489,563","477,391","464,776","451,595","438,212","424,900","412,253","399,849","388,023","376,791","365,978","354,673","344,170","333,731","322,868","311,991","301,070","290,439","279,972","269,952","260,569","250,950","241,015","231,071","221,885","213,745"
Central and Southern Asia,Upper,"590,840","578,242","566,743","556,490","547,253","536,668","526,241","514,198","501,637","487,818","473,952","459,727","445,839","432,769","420,059","408,108","396,294","384,944","373,162","362,153","350,626","338,917","327,546","316,037","304,879","294,111","284,282","275,785","267,206","259,159","251,095","244,524","239,262"
Central Asia,Lower,"255,474","256,987","259,844","263,349","266,326","267,215","266,922","265,032","260,900","255,656","248,934","240,883","231,823","222,397","212,862","203,498","194,323","184,165","173,104","161,753","150,676","140,407","130,962","122,904","115,566","109,490","103,984","99,146","94,183","90,030","85,623","82,496","78,732"
Central Asia,Median,"279,933","281,271","284,128","287,252","289,690","290,687","289,915","287,393","282,976","276,824","270,062","261,792","252,765","242,394","232,462","222,634","212,534","202,010","190,555","177,719","165,226","153,569","143,010","134,052","126,231","120,179","114,846","110,689","106,272","102,645","98,489","95,989","93,043"
Central Asia,Upper,"310,198","311,551","313,921","317,414","319,066","319,421","318,885","316,468","310,177","303,176","295,169","286,466","276,954","266,408","256,121","245,890","234,882","223,486","210,396","195,478","181,060","167,793","155,568","145,375","137,143","131,553","127,475","124,927","122,165","120,429","117,791","117,447","116,518"
Southern Asia,Lower,"548,383","536,321","525,479","515,103","505,874","495,839","484,667","473,346","461,265","449,019","436,303","423,000","410,328","398,010","385,553","374,129","363,500","353,511","343,418","333,634","324,132","313,925","304,066","293,759","283,547","273,003","262,663","252,765","242,733","231,279","219,790","208,309","197,782"
Southern Asia,Median,"573,807","561,379","550,143","539,535","529,887","519,125","508,113","496,163","483,479","470,464","456,951","443,334","429,920","417,249","404,932","393,231","382,242","371,724","360,751","350,532","340,302","329,593","318,862","308,078","297,699","287,152","276,928","267,348","257,774","247,749","237,765","228,067","219,530"
Southern Asia,Upper,"602,902","589,717","577,414","566,298","556,545","545,298","534,016","521,388","508,321","494,178","480,113","465,429","451,483","438,343","425,798","413,898","402,390","391,052","379,853","369,212","357,873","346,163","335,116","323,625","312,771","301,843","291,909","283,269","274,777","266,675","258,797","251,630","246,175"
Eastern and South-Eastern Asia,Lower,"258,167","255,772","252,283","247,340","240,479","234,864","225,865","217,134","208,076","199,653","191,066","181,473","171,610","159,229","149,236","139,458","130,272","122,088","114,279","106,925","100,610","95,055","88,708","84,459","79,536","76,509","72,152","68,653","68,599","66,755","67,085","66,236","63,623"
Eastern and South-Eastern Asia,Median,"280,301","274,147","268,244","261,823","253,832","247,730","238,314","228,850","219,710","211,297","202,770","192,611","181,944","168,959","158,699","148,644","139,158","130,578","122,468","114,673","107,971","102,116","95,475","91,110","86,013","82,831","78,248","74,750","74,923","73,389","74,278","74,080","71,969"
Eastern and South-Eastern Asia,Upper,"306,762","296,397","287,838","279,401","269,725","262,696","252,617","242,055","232,517","223,493","214,382","203,579","192,237","178,565","167,549","156,940","147,057","137,880","129,306","121,109","114,145","108,185","101,300","96,911","91,708","88,656","84,235","80,928","81,949","81,184","83,488","84,813","83,933"
Eastern Asia,Lower,"250,218","248,533","246,634","242,262","234,982","229,855","219,556","209,711","199,661","190,300","180,904","169,183","157,137","141,256","128,737","116,583","104,981","94,977","86,133","78,240","70,930","64,720","59,600","54,525","50,072","45,822","42,151","38,715","35,508","32,911","30,401","28,058","26,111"
Eastern Asia,Median,"280,675","274,795","269,509","263,275","254,722","249,214","238,464","227,896","217,630","208,235","198,968","186,196","172,694","155,305","141,957","128,927","116,455","105,375","95,547","86,793","78,891","72,028","66,200","60,643","55,772","51,050","47,022","43,333","39,851","36,883","34,172","31,847","30,082"
Eastern Asia,Upper,"314,767","304,388","295,599","286,889","276,500","270,621","259,107","247,313","236,496","226,170","216,133","202,446","187,799","168,844","154,403","140,399","126,982","114,820","104,245","94,768","86,096","78,780","72,484","66,440","61,097","55,926","51,612","47,445","43,692","40,537","37,777","35,579","34,345"
South-Eastern Asia,Lower,"265,496","259,336","253,089","247,175","240,661","234,002","227,350","220,210","213,311","206,521","199,652","193,312","187,138","181,340","176,415","171,231","166,887","162,414","157,989","152,316","147,402","142,203","137,086","132,529","128,178","124,397","121,093","118,098","115,330","112,301","109,057","105,605","102,150"
South-Eastern Asia,Median,"279,343","272,796","265,765","259,089","252,202","245,070","238,053","230,463","223,184","216,384","209,334","203,092","196,854","190,813","185,843","180,711","176,455","172,265","167,964","162,419","157,455","152,647","147,847","143,401","139,369","135,971","133,121","130,560","128,327","126,167","123,840","121,338","118,606"
South-Eastern Asia,Upper,"306,824","298,869","290,508","281,422","271,872","261,994","252,846","243,649","234,945","227,301","219,931","213,561","207,094","200,974","195,862","190,439","186,006","181,784","177,515","172,104","167,344","162,979","158,579","154,618","151,223","148,704","146,797","145,294","144,520","144,234","143,997","143,767","143,519"
Northern Africa and Western Asia,Lower,"295,735","288,509","280,648","272,593","264,741","257,373","249,464","242,794","235,829","229,282","222,637","215,262","208,697","202,198","195,595","189,083","182,669","176,050","169,766","164,185","158,753","153,556","148,388","143,439","138,619","133,985","130,235","126,504","123,437","120,184","116,490","113,080","108,982"
Northern Africa and Western Asia,Median,"307,509","300,082","291,934","283,755","275,412","267,722","259,563","252,384","244,958","237,960","230,910","223,238","216,602","209,993","203,328","196,651","190,236","183,553","177,250","171,910","166,672","161,642","156,837","152,402","148,097","144,248","141,067","138,274","136,196","133,814","130,867","128,216","125,211"
Northern Africa and Western Asia,Upper,"338,923","328,911","318,445","307,528","295,629","285,106","274,575","265,770","257,182","249,281","241,493","233,265","226,328","219,362","212,403","205,482","198,995","192,332","186,144","180,820","175,741","171,042","166,816","163,036","159,705","157,120","155,110","153,806","153,494","152,708","151,791","151,347","150,566"
Western Asia,Lower,"264,444","258,076","250,411","243,025","235,349","228,148","220,053","213,477","206,424","199,887","193,080","185,142","178,282","171,844","165,434","159,261","152,880","145,691","139,355","134,203","129,399","125,546","121,599","117,959","114,228","110,271","106,697","103,459","101,059","98,493","95,762","93,331","90,227"
Western Asia,Median,"278,119","271,250","263,053","255,109","246,681","238,866","230,225","223,316","215,957","209,168","202,024","193,929","186,764","180,180","173,723","167,370","160,899","153,578","147,082","142,018","137,311","133,465","129,697","126,281","122,743","119,106","115,828","112,947","111,171","109,091","106,967","105,277","103,015"
Western Asia,Upper,"300,232","291,216","280,588","270,982","261,362","252,555","243,024","235,687","227,915","220,840","213,055","204,453","196,969","190,197","183,346","176,767","170,103","162,577","155,908","150,712","146,055","142,367","138,710","135,526","132,215","128,795","126,077","123,898","122,953","121,959","121,140","120,963","120,014"
Northern Africa,Lower,"321,140","313,410","305,071","297,272","290,113","283,265","276,415","269,654","262,606","255,801","249,360","242,586","235,941","229,144","222,447","215,142","208,695","202,302","196,089","189,785","182,907","176,045","169,244","162,366","155,773","150,064","145,585","140,922","136,570","132,547","127,395","122,298","117,068"
Northern Africa,Median,"337,893","329,918","321,764","314,023","306,452","299,515","292,443","285,224","277,816","270,661","263,500","256,275","249,509","242,451","235,615","228,302","221,832","215,414","209,125","203,121","196,713","190,306","184,129","178,148","172,699","168,141","165,383","162,377","159,827","157,366","153,729","150,089","146,477"
Northern Africa,Upper,"380,095","370,156","359,959","349,017","336,765","325,902","315,974","306,249","296,937","288,674","280,423","272,205","264,686","257,118","249,894","242,471","236,255","230,045","224,214","218,586","212,489","206,681","201,391","197,158","193,528","191,005","191,172","190,794","191,042","191,695","191,397","191,024","191,204"
Sub-Saharan Africa,Lower,"438,751","434,765","431,596","428,018","424,398","418,723","414,185","409,151","402,049","394,586","386,384","377,676","368,882","359,326","349,997","341,731","334,007","327,087","320,393","314,610","308,802","303,007","297,280","291,759","286,469","281,376","276,196","270,403","264,344","258,051","251,786","245,277","238,915"
Sub-Saharan Africa,Median,"458,204","453,748","450,159","446,577","442,880","437,280","432,353","426,888","419,620","411,577","403,216","393,843","384,427","374,902","365,568","356,926","349,135","342,159","335,199","329,477","323,742","318,420","313,244","308,502","304,195","300,031","295,901","291,448","286,724","281,757","276,948","272,106","267,194"
Sub-Saharan Africa,Upper,"491,399","486,705","481,915","478,018","474,126","468,087","462,575","457,374","449,254","439,813","430,376","420,675","410,592","400,194","390,153","381,219","372,354","364,844","357,310","351,615","346,298","342,123","337,698","334,181","331,750","330,121","328,716","326,916","325,669","324,629","324,046","323,189","323,225"
Oceania,Lower,"122,305","123,470","122,723","123,357","123,288","123,324","123,845","124,342","125,121","124,700","124,163","123,569","122,230","121,086","119,249","117,300","114,922","110,419","108,062","106,422","104,048","101,759","98,135","95,711","93,810","89,909","87,248","84,131","81,336","79,410","77,411","74,299","71,427"
Oceania,Median,"134,340","134,998","134,055","134,629","134,962","135,328","136,289","137,359","138,215","138,019","137,365","137,432","136,411","135,285","133,684","131,642","129,577","125,000","122,503","121,277","119,296","117,911","115,185","113,824","113,207","110,472","108,773","106,638","104,614","104,288","103,831","101,532","99,415"
Oceania,Upper,"148,522","149,290","148,595","149,656","150,759","151,776","153,786","155,225","156,108","155,856","155,074","155,335","154,337","153,633","151,976","150,007","147,961","142,826","140,237","139,718","138,203","137,426","135,125","134,855","136,207","134,766","134,719","135,125","135,405","139,057","142,102","142,708","143,464"
Oceania (exc. Australia and New Zealand),Lower,"244,289","247,138","248,330","248,529","247,318","245,681","244,217","242,325","240,230","237,338","233,906","229,258","225,382","222,155","219,220","217,094","213,716","210,173","207,049","202,375","197,533","191,630","185,557","179,324","173,089","166,892","161,557","155,778","150,027","143,683","138,035","131,821","125,858"
Oceania (exc. Australia and New Zealand),Median,"275,594","276,644","277,270","276,831","275,681","274,589","273,487","272,564","270,187","267,178","263,388","259,650","256,122","252,784","250,288","248,171","245,671","242,907","239,580","235,682","231,509","227,280","222,920","218,710","214,922","211,449","208,412","204,771","201,129","197,710","194,078","189,785","185,742"
Oceania (exc. Australia and New Zealand),Upper,"314,754","315,188","316,756","316,549","316,639","316,016","316,489","316,087","312,164","308,225","303,986","299,977","295,899","292,877","290,499","288,653","286,578","283,674","280,135","277,553","274,028","270,432","267,303","265,015","264,666","264,532","264,833","267,078","268,887","272,803","275,722","277,906","279,971"
Australia and New Zealand,Lower,"42,210","40,477","38,690","36,914","35,413","34,258","33,576","33,196","32,978","32,843","32,721","32,492","32,037","31,466","30,872","30,203","29,431","28,637","27,840","27,113","26,414","25,596","24,832","24,121","23,569","23,212","22,851","22,685","22,522","22,520","22,451","22,293","22,016"
Australia and New Zealand,Median,"45,833","43,887","41,888","39,953","38,280","37,014","36,205","35,747","35,498","35,320","35,141","34,856","34,381","33,779","33,141","32,437","31,622","30,734","29,890","29,086","28,293","27,444","26,593","25,788","25,158","24,713","24,331","24,146","24,003","24,046","24,007","23,903","23,698"
Australia and New Zealand,Upper,"47,316","45,303","43,215","41,234","39,474","38,160","37,340","36,859","36,620","36,406","36,206","35,911","35,421","34,818","34,150","33,448","32,598","31,658","30,795","29,965","29,139","28,269","27,379","26,585","25,927","25,476","25,095","24,947","24,868","25,014","25,103","25,141","25,187"
World,Lower,"356,093","354,548","350,596","346,044","340,882","335,472","328,912","322,120","314,661","307,043","298,281","290,539","281,575","271,709","262,395","253,524","244,947","237,092","229,329","222,693","216,779","211,021","203,609","198,981","192,504","188,739","183,703","178,925","177,297","173,451","170,856","167,143","162,228"
World,Median,"367,561","365,183","360,851","356,052","350,800","345,281","338,503","331,435","323,790","316,017","306,940","298,903","289,653","279,675","270,157","261,060","252,212","244,077","235,976","229,275","223,151","217,205","209,729","205,144","198,800","195,205","190,199","185,801","184,854","181,503","179,620","176,742","172,696"
World,Upper,"384,121","380,629","375,052","369,747","363,983","357,990","350,619","343,161","335,183","326,797","317,255","308,882","299,461","289,233","279,443","270,153","260,911","252,588","244,337","237,373","231,041","225,119","217,689","213,447","207,484","204,481","200,178","196,737","197,251","195,516","195,818","195,074","193,174"